Especie,Num Boleto,Ticker,Tipo,Concertacion,Liquidacion,Cantidad,Precio,Bruto,Costos Mercado,Arancel,Neto,Moneda
BONO REP. ARGENTINA USD STEP UP 2030,10030579,AL30,VENTA,2024-11-12,2024-11-12,1288,767,987896,24.7,3951.58,983919.72,Pesos
ETF VANGUARD INDEX (VOO),9843520,VOO.E,COMPRAEXT,2024-11-06,2024-11-07,5,542.68,2713.4,0,6377.73,2729.81,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,9583810,AL30,COMPRA,2024-10-30,2024-10-30,1238,0.6385,790.46,19.54,3125.24,793.64,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,9161811,AL30,VENTA,2024-10-16,2024-10-16,2704,730.1092456,1974215.4,49.36,7896.86,1966269.18,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,9055936,AL30,VENTA,2024-10-14,2024-10-14,696,708.8,493324.8,12.33,1973.3,491339.17,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,9017600,AL30,COMPRA,2024-10-10,2024-10-10,8308,0.594216815,4936.75,120.46,19276,4956.62,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,8853639,AL30,COMPRA,2024-10-07,2024-10-07,8515,0.580259965,4940.91,120.37,19256.12,4960.79,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,8853640,AL30,VENTA,2024-10-07,2024-10-07,6952,710.6,4940091.2,123.5,19760.36,4920207.34,Pesos
YPF SOCIEDAD ON  8.75% VTO. 11/09/31,8576897,YMCXO,COMPRA,2024-09-27,2024-09-30,2000,1.0225,2045,49.51,7922.33,2053.23,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,8369967,AL30,VENTA,2024-09-20,2024-09-20,1135,695.4340969,789317.7,19.73,3157.27,786140.7,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,7834041,AL30,COMPRA,2024-09-05,2024-09-05,2053,0.546499805,1121.96,26.77,4285.705,1126.48,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,7834042,AL30,VENTA,2024-09-05,2024-09-05,2000,693.8,1387600,34.69,5550.4,1382014.91,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,7209779,AL30,VENTA,2024-08-16,2024-08-16,800,640.3,512240,12.81,2048.96,510178.23,Pesos
"ON YPF S.A. REGS 2,5% V.30/06/2029 (DTC)",7209780,YMCIO,COMPRA,2024-08-16,2024-08-16,480,1.028,493.44,11.61,1854.755,495.42,Dólares
BONO REP. ARGENTINA USD STEP UP 2030,7016582,AL30,VENTA,2024-08-12,2024-08-12,1726,629.4177289,1086375,27.16,4345.5,1082002.34,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,6261413,AL30,VENTA,2024-07-22,2024-07-22,1600,628.6,1005760,25.14,4023.04,1001711.82,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,5938202,AL30,COMPRA,2024-07-12,2024-07-12,804,0.5002,402.16,9.25,1481.2,403.78,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,5787909,AL30,VENTA,2024-07-10,2024-07-10,2300,697.9,1605170,40.13,6420.68,1598709.19,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,5499507,AL30,COMPRA,2024-07-02,2024-07-02,4644,0.534890202,2484.03,56.76,9085.16,2494.03,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,4982896,AL30,VENTA,2024-06-14,2024-06-14,3500,696.1934286,2436677,60.92,9746.71,2426869.37,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,4834944,AL30,COMPRA,2024-06-11,2024-06-11,9372,0.528437239,4952.51,111.68,17868.62,4972.44,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,4784629,AL30,VENTA,2024-06-10,2024-06-10,1634,664.2,1085302.8,27.13,4341.21,1080934.46,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,4784628,AL30,COMPRA,2024-06-10,2024-06-10,3134,0.5078,1591.45,35.77,5726.63,1597.86,US Dollar (Cable)
ON TELECOM ARGENTINA 8% V.18/07/2026,4419718,TLC1O,CSBNG,2024-05-29,2024-05-30,4000,1.01,4040,0,0,4040,US Dollar (Cable)
"ON YPF S.A. REGS 2,5% V.30/06/2029 (DTC)",4419719,YMCIO,CSBNG,2024-05-29,2024-05-30,5520,1.045,5768.4,0,0,5768.4,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,4365093,AL30,VENTA,2024-05-28,2024-05-28,367,664.2,243761.4,6.09,975.05,242780.26,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,4365092,AL30,COMPRA,2024-05-28,2024-05-28,367,0.538,197.45,4.41,705.865,198.24,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,3628975,AL30,COMPRA,2024-05-03,2024-05-03,4437,0.5605,2486.94,54.59,8736.1,2496.95,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,3628976,AL30,VENTA,2024-05-03,2024-05-03,4437,626.6,2780224.2,69.51,11120.9,2769033.79,Pesos
BONOS REP. ARG. U$S STEP UP V.09/07/35,3229565,GD35,COMPRA,2024-04-18,2024-04-18,2012,490.5390159,986964.5,24.67,3947.86,990937.03,Pesos
BONOS REP. ARG. U$S STEP UP V.09/07/35,3238967,GD35,COMPRA,2024-04-18,2024-04-18,6423,0.4675,3002.75,65.27,10442.695,3014.84,US Dollar (Cable)
BONOS REP. ARG. U$S STEP UP V.09/07/30,3039739,GD30,COMPRA,2024-04-11,2024-04-11,11307,0.563971345,6376.82,137.9,22066.15,6402.49,US Dollar (Cable)
BONOS REP. ARG. U$S STEP UP V.09/07/30,3039740,GD30,VENTA,2024-04-11,2024-04-11,11307,585.1452463,6616237.3,165.41,26464.95,6589606.94,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,2766662,AL30,VENTA,2024-04-04,2024-04-04,2822,554.9,1565927.8,39.15,6263.71,1559624.94,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,2766661,AL30,COMPRA,2024-04-04,2024-04-04,2822,0.5288,1492.27,32.12,5140.17,1498.28,US Dollar (Cable)
I SHARES PHLX SEMICOND (SOXX),2152470,SOXX.E,COMPRAEXT,2024-03-11,2024-03-13,11,224.6424,2471.07,0,4230.215,2486.07,US Dollar (Cable)
ETF VANGUARD INDEX (VOO),2152471,VOO.E,COMPRAEXT,2024-03-11,2024-03-13,5,469.17,2345.85,0,4230.215,2360.85,US Dollar (Cable)
BOPREAL S. 1 C VTO31/10/27 U$S CG,2157210,BPOC7,COMPRA,2024-03-11,2024-03-13,5684,0.662,3762.81,79.63,12739.825,3777.95,US Dollar (Cable)
BONOS REP. ARG. U$S STEP UP V.09/07/30,1984692,GD30,COMPRA,2024-03-06,2024-03-06,3272,0.483,1580.38,33.39,5340.4,1586.74,US Dollar (Cable)
BONOS REP. ARG. U$S STEP UP V.09/07/30,1984693,GD30,VENTA,2024-03-06,2024-03-06,3272,494.5737164,1618245.2,40.46,6472.98,1611731.76,Pesos
BONOS REP. ARG. U$S STEP UP V.09/07/30,1331860,GD30,VENTA,2024-02-14,2024-02-14,2925,496,1450800,36.27,5803.2,1444960.53,Pesos
BONOS REP. ARG. U$S STEP UP V.09/07/30,1331859,GD30,COMPRA,2024-02-14,2024-02-14,2925,0.439135036,1284.47,26.69,4272.882,1289.64,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,651706,AL30,COMPRA,2024-01-22,2024-01-22,830,0.374,310.42,6.36,1016.428,311.67,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,651707,AL30,VENTA,2024-01-22,2024-01-22,830,473,392590,9.81,1570.36,391009.83,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,200474,AL30,COMPRA,2024-01-08,2024-01-08,3475,0.3695,1284.01,26.07,4174.708,1289.18,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,200475,AL30,VENTA,2024-01-08,2024-01-08,3475,418.35,1453766.25,36.34,5815.07,1447914.84,Pesos
LT REP ARG. AJ.CER A DESC V18/01/24 $ CG,6597220,X18E4,COMPRA,2023-12-20,2023-12-20,288995,0.00155,447.94,5.4,1437.6385,449.74,US Dollar (Cable)
LT REP ARG. AJ.CER A DESC V18/01/24 $ CG,6597221,X18E4,VENTA,2023-12-20,2023-12-20,288995,1.49002,430608.33,6.46,1722.43,428879.44,Pesos
LT REP ARG. AJ.CER A DESC V18/01/24 $ CG,6424268,X18E4,VENTA,2023-12-14,2023-12-14,1008061,1.4865,1498482.68,22.48,5993.93,1492466.27,Pesos
LT REP ARG. AJ.CER A DESC V18/01/24 $ CG,6424267,X18E4,COMPRA,2023-12-14,2023-12-14,1008061,0.00147,1481.85,17.78,4743.7035,1487.8,US Dollar (Cable)
LT REP ARG. AJ.CER A DESC V18/01/24 $ CG,6228741,X18E4,COMPRA,2023-12-07,2023-12-07,3162036,0.00158,4996.02,27.26,7266.726,5016.07,US Dollar (Cable)
LT REP ARG. AJ.CER A DESC V18/01/24 $ CG,6228742,X18E4,VENTA,2023-12-07,2023-12-07,3162036,1.4725,4656098.01,69.84,18624.39,4637403.78,Pesos
